front,hl,word,meaning,sentence,analogy
"法","法","法","法令，法律。上古的\""法\""，着重在规定刑罚。","法","王力《古代汉语》"
"术","术","术","道路，街巷。礼记月令：\""皆修封疆，审端径～。","园囿术路。","王力《古代汉语》"
"势","势","势","力量，权力。荀子正论：\""天子者～位至尊，无敌於天下。","天子者势位至尊，无敌於天下。","王力《古代汉语》"
"数","数","数","数目，数量。庄子秋水：\""号物之～谓之万。","号物之数谓之万。","王力《古代汉语》"
"朝","朝","朝","读zhāo，早晨。跟\""暮\""、\""夕\""相对。","崇朝其雨。","王力《古代汉语》"
"野","野","野","郊外，田野。孟子梁惠王上：\""耕者皆欲耕於王之～。","耕者皆欲耕於王之野。","王力《古代汉语》"
"涂","涂","涂","路。论语阳货：\""遇诸～。","遇诸涂。","王力《古代汉语》"
"江","江","江","江","决汝汉，排淮泗，而注之江。","王力《古代汉语》"
"关","关","关","门闩。左传襄公二十八年：\""臧纥斩鹿门之～以出。","门虽设而常关。","王力《古代汉语》"
"宫","宫","宫","房屋，住宅。论语子张：\""譬之～墙。","作阿房宫。","王力《古代汉语》"
"府","府","府","藏财物的地方。孟子滕文公上：\""今也滕有仓廪～库，则是厉民而以自养也。","今也滕有仓廪府库，则是厉民而以自养也。","王力《古代汉语》"
"衣","衣","衣","衣服，有时候特指上衣。诗经邶风绿衣：\""绿兮～兮，绿～黄裳。","九月授衣。","王力《古代汉语》"
"冠","冠","冠","古代帽子的总称。楚辞渔父：\""新沐者必弹～。","新沐者必弹冠。","王力《古代汉语》"
"屦","屦","屦","屦","其徒数十人，皆衣褐，捆屦织席以为食。","王力《古代汉语》"
"商","商","商","做生意的人。左传僖公三十三年：\""郑～人弦高将市於周。","郑商人弦高将市於周。","王力《古代汉语》"
"贾","贾","贾","读gǔ。卖。","平子每岁贾马。","王力《古代汉语》"
"旅","旅","旅","军队五百人为旅。左传哀公元年：\""有田一成，有众一～。","有田一成，有众一旅。","王力《古代汉语》"
